iter	Passed	Remaining
0	707	211443
1	1282	191052
2	1644	162830
3	1978	146409
4	2353	138872
5	2689	131791
6	3026	126670
7	3394	123885
8	3767	121816
9	4216	122267
10	4703	123562
11	5157	123779
12	5616	123996
13	5958	121725
14	6221	118201
15	6469	114838
16	6705	111628
17	6936	108677
18	7175	106121
19	7401	103627
20	7621	101252
21	7856	99278
22	8156	98232
23	8509	97864
24	8813	96951
25	9110	96007
26	9393	94975
27	9713	94357
28	10039	93815
29	10401	93610
30	10764	93404
31	11081	92808
32	11425	92441
33	11790	92246
34	12115	91735
35	12444	91259
36	12785	90882
37	13159	90732
38	13511	90423
39	13806	89744
40	14099	89067
41	14397	88438
42	14704	87886
43	15004	87300
44	15295	86672
45	15581	86038
46	15877	85467
47	16170	84895
48	16451	84269
49	16754	83774
50	17056	83274
51	17383	82907
52	17734	82649
53	18029	82134
54	18332	81663
55	18639	81213
56	18944	80762
57	19238	80272
58	19547	79847
59	19862	79449
60	20158	78982
61	20436	78448
62	20742	78031
63	21070	77698
64	21394	77348
65	21679	76864
66	21952	76341
67	22221	75815
68	22540	75463
69	22860	75113
70	23143	74646
71	23434	74207
72	23717	73753
73	24010	73329
74	24308	72925
75	24612	72541
76	24900	72114
77	25189	71694
78	25473	71260
79	25766	70856
80	26063	70469
81	26382	70138
82	26684	69765
83	27012	69460
84	27338	69149
85	27650	68805
86	27971	68482
87	28274	68115
88	28564	67720
89	28858	67337
90	29150	66949
91	29448	66579
92	29762	66246
93	30074	65907
94	30411	65625
95	30699	65236
96	30997	64871
97	31275	64466
98	31560	64076
99	31875	63750
100	32178	63400
101	32469	63029
102	32746	62632
103	33000	62192
104	33257	61764
105	33530	61367
106	33820	61004
107	34112	60644
108	34407	60292
109	34690	59920
110	34989	59576
111	35282	59224
112	35573	58869
113	35858	58506
114	36128	58119
115	36409	57752
116	36684	57377
117	36960	57006
118	37243	56647
119	37537	56306
120	37813	55938
121	38086	55568
122	38374	55222
123	38651	54859
124	38926	54496
125	39213	54152
126	39549	53874
127	39848	53547
128	40129	53195
129	40421	52858
130	40704	52511
131	40974	52149
132	41275	51827
133	41560	51485
134	41820	51113
135	42133	50807
136	42504	50570
137	42791	50233
138	43105	49928
139	43491	49704
140	43850	49448
141	44210	49191
142	44540	48901
143	44873	48613
144	45177	48292
145	45543	48039
146	45865	47737
147	46197	47446
148	46492	47116
149	46775	46775
150	47039	46416
151	47283	46038
152	47527	45663
153	47774	45292
154	48024	44926
155	48263	44551
156	48502	44177
157	48760	43822
158	49001	43453
159	49244	43088
160	49491	42728
161	49741	42372
162	49988	42015
163	50234	41658
164	50470	41293
165	50718	40941
166	50968	40592
167	51220	40244
168	51460	39889
169	51712	39544
170	51960	39198
171	52200	38846
172	52458	38510
173	52711	38170
174	52968	37834
175	53227	37501
176	53500	37178
177	53812	36882
178	54067	36548
179	54320	36213
180	54604	35900
181	54868	35574
182	55154	35262
183	55426	34942
184	55722	34638
185	55998	34321
186	56274	34005
187	56641	33744
188	56954	33449
189	57319	33184
190	57660	32905
191	58002	32626
192	58477	32420
193	58774	32113
194	59054	31798
195	59368	31501
196	59663	31194
197	60018	30918
198	60356	30633
199	60692	30346
200	61020	30054
201	61343	29760
202	61703	29483
203	62030	29191
204	62350	28894
205	62712	28616
206	63064	28333
207	63364	28026
208	63731	27749
209	64068	27457
210	64369	27151
211	64712	26861
212	65091	26586
213	65444	26299
214	65800	26013
215	66142	25722
216	66509	25439
217	66797	25125
218	67091	24814
219	67394	24506
220	67706	24202
221	68039	23905
222	68346	23599
223	68688	23305
224	69007	23002
225	69332	22701
226	69682	22408
227	70022	22112
228	70348	21811
229	70690	21514
230	71031	21217
231	71361	20916
232	71660	20606
233	71973	20300
234	72260	19986
235	72563	19678
236	72878	19372
237	73166	19060
238	73524	18765
239	73825	18456
240	74131	18148
241	74436	17840
242	74720	17527
243	75007	17214
244	75303	16904
245	75599	16595
246	75882	16282
247	76172	15971
248	76479	15664
249	76805	15361
250	77117	15054
251	77417	14746
252	77703	14435
253	77992	14124
254	78319	13821
255	78608	13510
256	78891	13199
257	79167	12887
258	79454	12577
259	79746	12268
260	80030	11958
261	80315	11648
262	80609	11340
263	80913	11033
264	81207	10725
265	81517	10419
266	81803	10110
267	82093	9802
268	82374	9492
269	82663	9184
270	82944	8875
271	83227	8567
272	83520	8260
273	83798	7951
274	84110	7646
275	84400	7339
276	84700	7032
277	84997	6726
278	85283	6419
279	85587	6113
280	85867	5805
281	86140	5498
282	86447	5192
283	86765	4888
284	87058	4582
285	87345	4275
286	87636	3969
287	87918	3663
288	88197	3356
289	88486	3051
290	88775	2745
291	89073	2440
292	89354	2134
293	89674	1830
294	89989	1525
295	90265	1219
296	90535	914
297	90817	609
298	91113	304
299	91450	0
